Boasův příznak;
Brudzinského příznak;
Čepojevova (Čepojova) vzdálenost;
CHA2DS2-VASc;riziko embolizace do CNS u FIS
Charcotova trias;
Child Pugh skóre;
Chvostkův příznak;
Corriganův pulz;
Courvoisierův příznak;
Cullenovo znamení;
Defense musculaire;
Exsudát;
Fluktuace;
Fontainova klasifikace ICHDK;
Forestierova distance;
Forestierova fleche;
Frénikový příznak;
Graefeho příznak;
Grey-Turnerovo znamení;
HAS Bled skore;
Hautanova zkouška;
Hippocratica facies;
Homansovo znamení;
Hornerova trias (Claude-Bernard-Horner);
Hunterova glossitida;
Israeliho hmat;
Keiser-Fleischnerův prstenec;
Kernigův příznak;
Koplikovovy skvrny;
Lasegueův příznak;
Lightova kritéria;
Locus minoris Kiesselbachi;
MCBurneyův bod;
Mingazziniho příznak;
Mobiův příznak;
Monroův bod;
Murphyho příznak;
Mussetův příznak;
Obturátorový příznak;
Opozice šíje;
Oslerovy uzlíky;
Ottova inklinační vzdálenost;
Ottova reklinační vzdálenost;
Perthesův test;
Plantární znamení;
Pleniesův příznak;
Psoatický příznak;
Quinckého edém;
Ratschowův test;
Riedlův lalok;
Rombergova zkouška;
Rowsingův příznak;
Schoberova distance;
Škodův poklepový tón ;
Spinální příznak;
Stiborova distance;
Stokesův límec;
Syndrom horní duté žíly;
Thomayerova vzdálenost;
Tomayerova poklepová distribuce;
Trendelenburgův tets;
Virchowova uzlina;
Wahlův příznak;
